city_id,city_name,country_id
1,Berlin,30
2,Madrid,31
3,Paris,21
4,Hamburg,30
5,Barcelona,31
6,Munich,30
7,Sofia,51
8,Cologne,30
9,Naples,16
10,Marseille,21
11,Turin,16
12,Frankfurt_am_Main,30
13,Zaragoza,31
14,Rotterdam,39
15,Athens,34
16,Stuttgart,30
17,Düsseldorf,30
18,Leipzig,30
19,Riga,67
20,Dortmund,30
21,Essen,30
22,Málaga,31
23,Bremen,30
24,The_Hague,39
25,Dresden,30
26,Genoa,16
27,Hanover,30
28,Nuremberg,30
29,Lyon,21
30,Duisburg,30
31,Toulouse,21
32,Palma_de_Mallorca,31
33,Bologna,16
34,Las_Palmas,31
35,Utrecht,39
36,Bochum,30
37,Florence,16
38,Wuppertal,30
39,Nice,21
40,Alicante,31
41,Bielefeld,30
42,Bonn,30
43,Cluj-Napoca,60
44,Plovdiv,51
45,Münster,30
46,Nantes,21
47,Thessaloniki,34
48,Bari,16
49,Mannheim,30
50,Karlsruhe,30
51,Augsburg,30
