country_id,country
1,Gibraltar
2,Guernsey
3,"San Marino"
4,Liechtenstein
5,Andorra
6,Monaco
7,"United States"
8,"New Zealand"
9,Canada
10,Finland
11,Malta
12,Cyprus
13,Luxembourg
14,Australia
15,Guam
16,Italy
17,Estonia
18,Iceland
19,Poland
20,Jersey
21,France
22,"Puerto Rico"
23,Japan
24,Slovenia
25,Bahamas
26,"Czech Republic"
27,Portugal
28,Wales
29,Norway
30,Germany
31,Spain
32,Brunei
33,Slovakia
34,Greece
35,Switzerland
36,"United Kingdom"
37,Qatar
38,Belgium
39,Netherlands
40,Austria
41,"Antigua and Barbuda"
42,Scotland
43,Kuwait
44,Dominica
45,Sweden
46,Malaysia
47,Denmark
48,Ireland
49,"South Korea"
50,Lithuania
51,Bulgaria
52,Croatia
53,"Saint Kitts and Nevis"
54,Syria
55,Hungary
56,Nauru
57,Suriname
58,Brazil
59,"Dominican Republic"
60,Romania
61,Bahrain
62,Barbados
63,Chile
64,Argentina
65,Lesotho
66,Russia
67,Latvia
68,Mexico
69,Israel
70,Serbia
71,Georgia
72,Moldova
73,Montenegro
74,Taiwan
75,"United Arab Emirates"
76,Uruguay
77,"Bosnia and Herzegovina"
78,Belarus
79,Oman
80,"Trinidad and Tobago"
81,Colombia
82,Lebanon
83,Seychelles
84,"Costa Rica"
85,Guyana
86,Thailand
87,Turkey
88,Grenada
89,Botswana
90,Ukraine
91,Maldives
92,Albania
93,Guatemala
94,Kazakhstan
95,Honduras
96,Belize
97,China
98,Panama
99,Mongolia
100,"Saint Lucia"
101,"North Macedonia"
102,"Saint Vincent and the Grenadines"
103,Kyrgyzstan
104,Iran
105,Macau
106,Armenia
107,Tunisia
108,"South Africa"
109,Bolivia
110,Jordan
111,Tonga
112,Namibia
113,"Sri Lanka"
114,"São Tomé and Príncipe"
115,"Saudi Arabia"
116,Bhutan
117,Singapore
118,Algeria
119,Azerbaijan
120,Fiji
121,Nicaragua
122,Ecuador
123,Venezuela
124,Myanmar
125,"Cape Verde"
126,Samoa
127,Philippines
128,Peru
129,Nepal
130,Iraq
131,Morocco
132,"Hong Kong"
133,Turkmenistan
134,Greenland
135,"Federated States of Micronesia"
136,Kosovo
137,Uzbekistan
138,Indonesia
139,Jamaica
140,Gambia
141,Chad
142,Zimbabwe
143,Vanuatu
144,Egypt
145,Kenya
146,"El Salvador"
147,Cuba
148,Senegal
149,Nigeria
150,Afghanistan
151,"Ivory Coast"
152,India
153,Palestine
154,Vietnam
155,Yemen
156,Tajikistan
157,Madagascar
158,Ghana
159,Comoros
160,"Sierra Leone"
161,Djibouti
162,Angola
163,Guinea-Bissau
164,Kiribati
165,Togo
166,"Democratic Republic of the Congo"
167,Pakistan
168,Zambia
169,Benin
170,Bangladesh
171,Cambodia
172,Mozambique
173,Gabon
174,"Burkina Faso"
175,Liberia
176,Uganda
177,Eritrea
178,Guinea
179,"Solomon Islands"
180,Cameroon
181,Niger
182,Rwanda
183,Mauritania
184,"Papua New Guinea"
185,Mali
186,Malawi
187,Tanzania
188,Haiti
189,Ethiopia
190,Burundi
191,Somalia
192,Sudan
193,"Republic of the Congo"
194,"Central African Republic"
195,"North Korea"
