population,latitude,longitude,city_id,country_id
3850809,52.52,13.405,1,30
3223334,40.4169,3.70333,2,31
2102650,48.8567,2.35222,3,21
1945532,53.55,10,4,30
1620343,41.3828,2.17694,5,31
1512491,48.1375,11.575,6,30
1248452,42.7,23.3333,7,51
1073096,50.9364,6.95278,8,30
909048,40.8333,14.25,9,16
873076,43.2964,5.37,10,21
843514,45.0792,7.67611,11,16
773068,50.1106,8.68222,12,30
675301,41.65,0.883333,13,31
664311,51.9167,4.48333,14,39
643452,37.9842,23.7281,15,34
626275,48.7775,9.18,16,30
619477,51.2333,6.78333,17,30
601866,51.34,12.375,18,30
609489,56.9489,24.1064,19,67
586852,51.5139,7.46528,20,30
579432,51.4508,7.01306,21,30
571026,36.7194,4.42,22,31
563290,53.0758,8.80722,23,30
549163,52.08,4.31,24,39
555351,51.05,13.74,25,30
580097,44.4111,8.93278,26,16
535932,52.3667,9.71667,27,30
523026,49.4539,11.0775,28,30
522250,45.7667,4.83333,29,21
495152,51.4347,6.7625,30,30
504078,43.6044,1.44389,31,21
409661,39.5667,2.65,32,31
394843,44.4939,11.3428,33,16
378517,28.1258,15.4353,34,31
368024,52.0908,5.12167,35,39
363441,51.4819,7.21583,36,30
367150,43.7714,11.2542,37,16
354572,51.2667,7.18333,38,30
348085,43.7033,7.26639,39,21
348901,38.3453,0.483056,40,31
334002,52.0211,8.53472,41,30
331885,50.7333,7.1,42,30
286598,46.7667,23.5833,43,60
346893,42.15,24.75,44,51
317713,51.9625,7.62556,45,30
323204,47.2181,1.55278,46,21
319045,40.6403,22.9347,47,34
316491,41.1253,16.8667,48,16
311831,49.4878,8.46611,49,30
306502,49.0092,8.40389,50,30
301033,48.3689,10.8978,51,30
